issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent,clean_text,tokens
YARN-10650,"Create dispatcher metrics interface, and apply to RM async dispatcher.","It is needed for us to add dispatcher metrics interface.

And will apply to RM async dispatcher first.",Improvement,Resolved,Major,Duplicate,2021-02-24T08:22:59.221+0000,2026-06-24T21:03:14.072+0000,Qi Zhu,Qi Zhu,[],['pull-request-available'],5,,create dispatcher metric interface apply async dispatcher need add dispatcher metric interface apply async dispatcher first,"['create', 'dispatcher', 'metric', 'interface', 'apply', 'async', 'dispatcher', 'need', 'add', 'dispatcher', 'metric', 'interface', 'apply', 'async', 'dispatcher', 'first']"
YARN-11025,Implement distributed decommissioning,"This Jira proposes to add support for accepting request from disributed sources for putting nodes in decomissioning state. 

It proposes to add configurable provider and consumer class interface in nodemanager. NM can receive request to put node in decomissioning from any distributed sources using the provider class implementation and consumer classes can utilize it to set node status. 

Corresponding changes will be done at RM side to update node staate while update event is called at DecomissioningNodesWatcher.",New Feature,Open,Major,,2021-12-01T05:57:11.682+0000,2025-11-20T00:23:25.029+0000,Minni Mittal,Minni Mittal,[],['pull-request-available'],2,,implement distribute decommissioning jira propose add support accept request disributed source put node decomissione state propose add configurable provider consumer class interface nodemanager receive request put node decomissione distribute source use provider class implementation consumer class utilize set node status correspond change side update node staate update event call decomissioningnodeswatcher,"['implement', 'distribute', 'decommissioning', 'jira', 'propose', 'add', 'support', 'accept', 'request', 'disributed', 'source', 'put', 'node', 'decomissione', 'state', 'propose', 'add', 'configurable', 'provider', 'consumer', 'class', 'interface', 'nodemanager', 'receive', 'request', 'put', 'node', 'decomissione', 'distribute', 'source', 'use', 'provider', 'class', 'implementation', 'consumer', 'class', 'utilize', 'set', 'node', 'status', 'correspond', 'change', 'side', 'update', 'node', 'staate', 'update', 'event', 'call', 'decomissioningnodeswatcher']"
YARN-11005,Implement the core QUEUE_LENGTH_THEN_RESOURCES OContainer allocation policy,"This sub-task contains the bulk of the work that will implement the new resource-aware Opportunistic container allocation policy {{QUEUE_LENGTH_THEN_RESOURCES}}.
The core tasks here are to:
# Allow {{ClusterNode}} to be allocated resource-aware using information from {{RMNode}},
# Add the {{QUEUE_LENGTH_THEN_RESOURCES}} {{LoadComparator}},
# Implement the new sorting logic and the logic to determine whether a node can queue Opportunistic containers in case the {{QUEUE_LENGTH_THEN_RESOURCES}} policy is chosen, and
# Modify {{NodeQueueLoadMonitor.selectAnyNode}} to be request-resource-aware.",Sub-task,Resolved,Minor,Fixed,2021-11-11T19:39:58.322+0000,2021-12-08T18:02:48.911+0000,Andrew Chung,Andrew Chung,['resourcemanager'],['pull-request-available'],0,YARN-11002,implement core queue length resource ocontainer allocation policy sub task contain bulk work implement new resource aware opportunistic container allocation policy queue length resource core task allow clusternode allocate resource aware use information rmnode add queue length resource loadcomparator implement new sort logic logic determine whether node queue opportunistic container case queue length resource policy choose modify nodequeueloadmonitor selectanynode request resource aware,"['implement', 'core', 'queue', 'length', 'resource', 'ocontainer', 'allocation', 'policy', 'sub', 'task', 'contain', 'bulk', 'work', 'implement', 'new', 'resource', 'aware', 'opportunistic', 'container', 'allocation', 'policy', 'queue', 'length', 'resource', 'core', 'task', 'allow', 'clusternode', 'allocate', 'resource', 'aware', 'use', 'information', 'rmnode', 'add', 'queue', 'length', 'resource', 'loadcomparator', 'implement', 'new', 'sort', 'logic', 'logic', 'determine', 'whether', 'node', 'queue', 'opportunistic', 'container', 'case', 'queue', 'length', 'resource', 'policy', 'choose', 'modify', 'nodequeueloadmonitor', 'selectanynode', 'request', 'resource', 'aware']"
YARN-11003,Make RMNode aware of all (OContainer inclusive) allocated resources,"In order to facilitate resource-aware Opportunistic container allocation, we will need to pass allocated container information to {{ClusterNode}}, which in turn gets its information from {{RMNode}}.
However, {{RMNode}} currently only holds containers and node utilization based on the actual physical resource utilization, not at the allocated container level.
This sub-task aims to allow {{RMNode}} to be aware of all allocated resources on the node upon a node heartbeat.",Sub-task,Resolved,Minor,Fixed,2021-11-11T18:23:45.904+0000,2025-10-12T09:14:10.401+0000,Andrew Chung,Andrew Chung,"['container', 'resourcemanager']",['pull-request-available'],1,YARN-11002,make rmnode aware ocontainer inclusive allocate resource order facilitate resource aware opportunistic container allocation need pass allocate container information clusternode turn get information rmnode however rmnode currently hold container node utilization base actual physical resource utilization allocate container level sub task aim allow rmnode aware allocate resource node upon node heartbeat,"['make', 'rmnode', 'aware', 'ocontainer', 'inclusive', 'allocate', 'resource', 'order', 'facilitate', 'resource', 'aware', 'opportunistic', 'container', 'allocation', 'need', 'pass', 'allocate', 'container', 'information', 'clusternode', 'turn', 'get', 'information', 'rmnode', 'however', 'rmnode', 'currently', 'hold', 'container', 'node', 'utilization', 'base', 'actual', 'physical', 'resource', 'utilization', 'allocate', 'container', 'level', 'sub', 'task', 'aim', 'allow', 'rmnode', 'aware', 'allocate', 'resource', 'node', 'upon', 'node', 'heartbeat']"
YARN-11002,Resource-aware Opportunistic Container Allocation,"Currently, Centralized opportunistic container (OContainer) allocation only considers queue length on nodes.
However, based on production experience, we found that relying only on queue length for allocating OContainers can lead to very high queue times.

Namely, while we rely on queue length to sort the candidate nodes for OContainer allocation, the queue length used in computation can be stale/outdated, depending on node HB frequency, leading to an exceedingly high number of queued nodes. This excessive queueing can lead to queued vertices on the critical path of our jobs blocking the rest of the job's vertices. Here's an example illustrating what can happen:
Suppose an NM can run 3 containers, and has no allocated containers to start with.
AM -> RM: heartbeat, allocate 6 containers
RM.NodeQueueLoadMonitor: nothing allocated on NM now, mark 3 containers on NM as allocated to AM, 3 containers from AM outstanding.
RM -> AM: allocate 3 containers on NM
NM -> RM: heartbeat with no containers allocated
RM.NodeQueueLoadMonitor: mark 0 containers allocated on NM
AM -> NM: run 3 containers
NM ->AM : ACK, run 3 containers, no more capacity on NM
AM -> RM: heartbeat
RM.NodeQueueLoadMonitor: nothing allocated on NM now, mark 3 more containers on NM as allocated to AM (in reality, there should be 3 containers already allocated on NM, and the 3 marked in this heartbeat will be queued), no containers from AM outstanding.
RM -> AM: allocate the 3 remaining containers on NM

We've found that, if OContainers are unlucky, they can be co-located with vertices that run for an excessively long period of time, requiring them to wait a long time before they can begin to run. This led to certain jobs experiencing a > 3x increase in median run time. In these cases, it is better for the OContainer to remain un-released at the RM until NMs report available resources.

To address this, we propose a new allocation policy {{QUEUE_LENGTH_THEN_RESOURCES}}, orthogonal to the original {{QUEUE_LENGTH}} policy, that considers the available node resources when allocating OContainers.
It first sorts the candidate nodes by queue length in an ascending fashion, then by available resources.
Akin to the {{QUEUE_LENGTH}} policy, the new {{QUEUE_LENGTH_THEN_RESOURCES}} policy will still pick a random node out of a configurable K nodes for allocation.
In the case where the maximum queue length on nodes is zero, it simply waits until a node reports available resources to run OContainers.

This JIRA issue will serve as an umbrella issue that encapsulates sub-tasks for this work.",New Feature,Open,Minor,,2021-11-11T16:14:57.762+0000,2021-11-11T19:58:13.626+0000,Andrew Chung,Andrew Chung,"['container-queuing', 'resourcemanager']",[],0,,resource aware opportunistic container allocation currently centralize opportunistic container ocontainer allocation consider queue length node however base production experience find rely queue length allocate ocontainer lead high queue time namely rely queue length sort candidate node ocontainer allocation queue length use computation stale outdate depend node frequency lead exceedingly high number queue node excessive queueing lead queue vertex critical path job block rest job vertex example illustrate happen suppose run container allocate container start heartbeat allocate container nodequeueloadmonitor nothing allocate mark container allocate container outstanding allocate container heartbeat container allocate nodequeueloadmonitor mark container allocate run container ack run container capacity heartbeat nodequeueloadmonitor nothing allocate mark container allocate reality container already allocate mark heartbeat queue container outstanding allocate remain container find ocontainer unlucky locate vertex run excessively long period time require wait long time begin run lead certain job experience increase median run time case well ocontainer remain release nms report available resource address propose new allocation policy queue length resource orthogonal original queue length policy consider available node resource allocate ocontainer first sort candidate node queue length ascend fashion available resource akin queue length policy new queue length resource policy still pick random node configurable node allocation case maximum queue length node zero simply wait node report available resource run ocontainer jira issue serve umbrella issue encapsulate sub task work,"['resource', 'aware', 'opportunistic', 'container', 'allocation', 'currently', 'centralize', 'opportunistic', 'container', 'ocontainer', 'allocation', 'consider', 'queue', 'length', 'node', 'however', 'base', 'production', 'experience', 'find', 'rely', 'queue', 'length', 'allocate', 'ocontainer', 'lead', 'high', 'queue', 'time', 'namely', 'rely', 'queue', 'length', 'sort', 'candidate', 'node', 'ocontainer', 'allocation', 'queue', 'length', 'use', 'computation', 'stale', 'outdate', 'depend', 'node', 'frequency', 'lead', 'exceedingly', 'high', 'number', 'queue', 'node', 'excessive', 'queueing', 'lead', 'queue', 'vertex', 'critical', 'path', 'job', 'block', 'rest', 'job', 'vertex', 'example', 'illustrate', 'happen', 'suppose', 'run', 'container', 'allocate', 'container', 'start', 'heartbeat', 'allocate', 'container', 'nodequeueloadmonitor', 'nothing', 'allocate', 'mark', 'container', 'allocate', 'container', 'outstanding', 'allocate', 'container', 'heartbeat', 'container', 'allocate', 'nodequeueloadmonitor', 'mark', 'container', 'allocate', 'run', 'container', 'ack', 'run', 'container', 'capacity', 'heartbeat', 'nodequeueloadmonitor', 'nothing', 'allocate', 'mark', 'container', 'allocate', 'reality', 'container', 'already', 'allocate', 'mark', 'heartbeat', 'queue', 'container', 'outstanding', 'allocate', 'remain', 'container', 'find', 'ocontainer', 'unlucky', 'locate', 'vertex', 'run', 'excessively', 'long', 'period', 'time', 'require', 'wait', 'long', 'time', 'begin', 'run', 'lead', 'certain', 'job', 'experience', 'increase', 'median', 'run', 'time', 'case', 'well', 'ocontainer', 'remain', 'release', 'nms', 'report', 'available', 'resource', 'address', 'propose', 'new', 'allocation', 'policy', 'queue', 'length', 'resource', 'orthogonal', 'original', 'queue', 'length', 'policy', 'consider', 'available', 'node', 'resource', 'allocate', 'ocontainer', 'first', 'sort', 'candidate', 'node', 'queue', 'length', 'ascend', 'fashion', 'available', 'resource', 'akin', 'queue', 'length', 'policy', 'new', 'queue', 'length', 'resource', 'policy', 'still', 'pick', 'random', 'node', 'configurable', 'node', 'allocation', 'case', 'maximum', 'queue', 'length', 'node', 'zero', 'simply', 'wait', 'node', 'report', 'available', 'resource', 'run', 'ocontainer', 'jira', 'issue', 'serve', 'umbrella', 'issue', 'encapsulate', 'sub', 'task', 'work']"
YARN-10980,fix CVE-2020-8908,"see  [https://www.cvedetails.com/cve/CVE-2020-8908/]

 

A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",Bug,Resolved,Major,Fixed,2021-10-18T10:18:11.785+0000,2021-10-18T11:20:39.684+0000,,lujie,[],['pull-request-available'],1,,fix cve see temp directory creation vulnerability exist version guava allow attacker access machine potentially access datum temporary directory create guava api com google common file createtempdir default unix like system create directory world readable readable attacker access system method question mark deprecate version later use android developer recommend choose temporary directory api provide android context getcachedir java developer recommend migrating java api java nio file file createtempdirectory explicitly configure permission configure java runtime java tmpdir system property point location whose permission appropriately configure,"['fix', 'cve', 'see', 'temp', 'directory', 'creation', 'vulnerability', 'exist', 'version', 'guava', 'allow', 'attacker', 'access', 'machine', 'potentially', 'access', 'datum', 'temporary', 'directory', 'create', 'guava', 'api', 'com', 'google', 'common', 'file', 'createtempdir', 'default', 'unix', 'like', 'system', 'create', 'directory', 'world', 'readable', 'readable', 'attacker', 'access', 'system', 'method', 'question', 'mark', 'deprecate', 'version', 'later', 'use', 'android', 'developer', 'recommend', 'choose', 'temporary', 'directory', 'api', 'provide', 'android', 'context', 'getcachedir', 'java', 'developer', 'recommend', 'migrating', 'java', 'api', 'java', 'nio', 'file', 'file', 'createtempdirectory', 'explicitly', 'configure', 'permission', 'configure', 'java', 'runtime', 'java', 'tmpdir', 'system', 'property', 'point', 'location', 'whose', 'permission', 'appropriately', 'configure']"
YARN-10955,Add health check mechanism to improve troubleshooting skills for RM,"RM is the most complex component in YARN with many basic or core services including RPC servers, event dispatchers, HTTP server, core scheduler, state managers etc., and some of them depends on other basic components like ZooKeeper, HDFS. 

Currently we may have to find some suspicious traces from many related metrics and tremendous logs while encountering an unclear issue, hope to locate the root cause of the problem. For example, some applications keep staying in NEW_SAVING state, which can be caused by lost of ZooKeeper connections or jam in event dispatcher, the useful traces is sinking in many metrics and logs. That's not easy to figure out what happened even for some experts, let alone common users.

So I propose to add a common health check mechanism to improve troubleshooting skills for RM, in my general thought, we can
 * add a HealthReporter interface as follows:
{code:java}
public interface HealthReporter {
  HealthReport getHealthReport();
}
{code}
HealthReport can have some generic fields like isHealthy(boolean), workState(enum: NORMAL/IDLE/BUSY), updateTime(long), diagnostics(string) and keyMetrics(Map<String, Object>).

 * make some key services implement HealthReporter interface and generate health report via evaluating the internal state.
 * add HealthCheckerService which can manage and monitor all reportable services, support checking and fetching health reports periodically and manually (can be triggered by REST API), publishing metrics and logs as well.",Improvement,Open,Major,,2021-09-15T08:35:59.443+0000,2025-08-24T02:09:30.469+0000,Tao Yang,Tao Yang,['resourcemanager'],['pull-request-available'],2,,add health check mechanism improve troubleshooting skill complex component yarn many basic core service include rpc server event dispatcher http server core scheduler state manager etc depend basic component like zookeeper hdfs currently may find suspicious trace many related metric tremendous log encounter unclear issue hope locate root cause problem example application keep stay new saving state cause lose zookeeper connection jam event dispatcher useful trace sink many metric log easy figure happen even expert let alone common user propose add common health check mechanism improve troubleshooting skill general thought add healthreporter interface follow code java public interface healthreporter healthreport gethealthreport code healthreport generic field like ishealthy boolean workstate enum normal idle busy updatetime long diagnostic string keymetric map make key service implement healthreporter interface generate health report via evaluate internal state add healthcheckerservice manage monitor reportable service support check fetch health report periodically manually trigger rest api publishing metric log well,"['add', 'health', 'check', 'mechanism', 'improve', 'troubleshooting', 'skill', 'complex', 'component', 'yarn', 'many', 'basic', 'core', 'service', 'include', 'rpc', 'server', 'event', 'dispatcher', 'http', 'server', 'core', 'scheduler', 'state', 'manager', 'etc', 'depend', 'basic', 'component', 'like', 'zookeeper', 'hdfs', 'currently', 'may', 'find', 'suspicious', 'trace', 'many', 'related', 'metric', 'tremendous', 'log', 'encounter', 'unclear', 'issue', 'hope', 'locate', 'root', 'cause', 'problem', 'example', 'application', 'keep', 'stay', 'new', 'saving', 'state', 'cause', 'lose', 'zookeeper', 'connection', 'jam', 'event', 'dispatcher', 'useful', 'trace', 'sink', 'many', 'metric', 'log', 'easy', 'figure', 'happen', 'even', 'expert', 'let', 'alone', 'common', 'user', 'propose', 'add', 'common', 'health', 'check', 'mechanism', 'improve', 'troubleshooting', 'skill', 'general', 'thought', 'add', 'healthreporter', 'interface', 'follow', 'code', 'java', 'public', 'interface', 'healthreporter', 'healthreport', 'gethealthreport', 'code', 'healthreport', 'generic', 'field', 'like', 'ishealthy', 'boolean', 'workstate', 'enum', 'normal', 'idle', 'busy', 'updatetime', 'long', 'diagnostic', 'string', 'keymetric', 'map', 'make', 'key', 'service', 'implement', 'healthreporter', 'interface', 'generate', 'health', 'report', 'via', 'evaluate', 'internal', 'state', 'add', 'healthcheckerservice', 'manage', 'monitor', 'reportable', 'service', 'support', 'check', 'fetch', 'health', 'report', 'periodically', 'manually', 'trigger', 'rest', 'api', 'publishing', 'metric', 'log', 'well']"
YARN-10930,Introduce universal configured capacity vector,"The proposal is to introduce a capacity resource vector that is universally parsed for every queue. CapacityResourceVector is a way to unite the current capacity modes (weight, percentage, absolute), while maintaining flexibility and extendability.
CapacityResourceVector is a good fit for the existing capacity configs, for example:
* percentage mode: root.example.capacity 50 is a syntactic sugar for [memory=50%, vcores=50%, ....]
* absolute mode: root.example.capacity [memory=1024, vcores=2] is a natural fit for the vector, there is no need for additional settings
CapacityResourceVector will be used in a future refactor, to unify the resource calculation and lift the limitation imposed on the queue hierarchy capacity settings (eg. can not use both absolute resource and percentage in the same hierarchy etc...)",Sub-task,Resolved,Major,Fixed,2021-08-31T10:09:52.302+0000,2021-10-22T15:41:23.453+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],['pull-request-available'],0,YARN-10888,introduce universal configure capacity vector proposal introduce capacity resource vector universally parse every queue capacityresourcevector way unite current capacity mode weight percentage absolute maintain flexibility extendability capacityresourcevector good fit exist capacity config example percentage mode root example capacity syntactic sugar memory vcore absolute mode root example capacity memory vcore natural fit vector need additional setting capacityresourcevector use future refactor unify resource calculation lift limitation impose queue hierarchy capacity setting use absolute resource percentage hierarchy etc,"['introduce', 'universal', 'configure', 'capacity', 'vector', 'proposal', 'introduce', 'capacity', 'resource', 'vector', 'universally', 'parse', 'every', 'queue', 'capacityresourcevector', 'way', 'unite', 'current', 'capacity', 'mode', 'weight', 'percentage', 'absolute', 'maintain', 'flexibility', 'extendability', 'capacityresourcevector', 'good', 'fit', 'exist', 'capacity', 'config', 'example', 'percentage', 'mode', 'root', 'example', 'capacity', 'syntactic', 'sugar', 'memory', 'vcore', 'absolute', 'mode', 'root', 'example', 'capacity', 'memory', 'vcore', 'natural', 'fit', 'vector', 'need', 'additional', 'setting', 'capacityresourcevector', 'use', 'future', 'refactor', 'unify', 'resource', 'calculation', 'lift', 'limitation', 'impose', 'queue', 'hierarchy', 'capacity', 'setting', 'use', 'absolute', 'resource', 'percentage', 'hierarchy', 'etc']"
YARN-10928,Support default queue properties of capacity scheduler to simplify configuration management,"There are many user cases that one user owns many queues in his organization's cluster for different business usages in practice. These queues often share the same properties, such as minimum-user-limit-percent and user-limit-factor. Users have to write one property for every queue they use if they want to use customized these shared properties. Adding default queue properties for these cases will simplify capacity scheduler's configuration file and make it easy to adjust queue's common properties. 
  
  CHANGES:

Add two properties as queue's default value in capacity scheduler's configuration:
 * {{yarn.scheduler.capacity.minimum-user-limit-percent}}
 * {{yarn.scheduler.capacity.user-limit-factor}}",Improvement,Resolved,Major,Fixed,2021-08-30T08:40:15.876+0000,2021-09-13T03:09:57.162+0000,Weihao Zheng,Weihao Zheng,['capacity scheduler'],['pull-request-available'],6,,support default queue property capacity scheduler simplify configuration management many user case one user many queue organization cluster different business usage practice queue often share property minimum user limit percent user limit factor user write one property every queue use want use customize share property add default queue property case simplify capacity scheduler configuration file make easy adjust queue common property change add two property queue default value capacity scheduler configuration yarn scheduler capacity minimum user limit percent yarn scheduler capacity user limit factor,"['support', 'default', 'queue', 'property', 'capacity', 'scheduler', 'simplify', 'configuration', 'management', 'many', 'user', 'case', 'one', 'user', 'many', 'queue', 'organization', 'cluster', 'different', 'business', 'usage', 'practice', 'queue', 'often', 'share', 'property', 'minimum', 'user', 'limit', 'percent', 'user', 'limit', 'factor', 'user', 'write', 'one', 'property', 'every', 'queue', 'use', 'want', 'use', 'customize', 'share', 'property', 'add', 'default', 'queue', 'property', 'case', 'simplify', 'capacity', 'scheduler', 'configuration', 'file', 'make', 'easy', 'adjust', 'queue', 'common', 'property', 'change', 'add', 'two', 'property', 'queue', 'default', 'value', 'capacity', 'scheduler', 'configuration', 'yarn', 'scheduler', 'capacity', 'minimum', 'user', 'limit', 'percent', 'yarn', 'scheduler', 'capacity', 'user', 'limit', 'factor']"
YARN-10899,control whether non-exclusive allocation is used,"A non-exclusive partition has the advantage of increasing resource utilization.
 But, it is not useful in all use cases.

In the case of a long-running container,
 if it is allocated with non-exclusive allocation, it is more likely to be preempted and the overhead of repeating the same operation occurs.

A function that can control whether non-exclusive allocation is used from the user's point of view is required.

I suggest:
 When node label expression is empty string, only default partition without non-exclusive allocation is used,
 when node label expression is null, only it allowed non-exclusive allocation.

I will attach patch.",Improvement,Patch Available,Major,,2021-08-26T04:51:13.983+0000,2021-08-31T22:06:16.463+0000,,KWON BYUNGCHANG,[],[],5,,control whether non exclusive allocation use non exclusive partition advantage increase resource utilization useful use case case long run container allocate non exclusive allocation likely preempt overhead repeat operation occur function control whether non exclusive allocation use user point view require suggest node label expression empty string default partition without non exclusive allocation use node label expression null allow non exclusive allocation attach patch,"['control', 'whether', 'non', 'exclusive', 'allocation', 'use', 'non', 'exclusive', 'partition', 'advantage', 'increase', 'resource', 'utilization', 'useful', 'use', 'case', 'case', 'long', 'run', 'container', 'allocate', 'non', 'exclusive', 'allocation', 'likely', 'preempt', 'overhead', 'repeat', 'operation', 'occur', 'function', 'control', 'whether', 'non', 'exclusive', 'allocation', 'use', 'user', 'point', 'view', 'require', 'suggest', 'node', 'label', 'expression', 'empty', 'string', 'default', 'partition', 'without', 'non', 'exclusive', 'allocation', 'use', 'node', 'label', 'expression', 'null', 'allow', 'non', 'exclusive', 'allocation', 'attach', 'patch']"
