issue_key,bertopic_topic
YARN-10650,-1
YARN-11025,-1
YARN-11005,0
YARN-11003,0
YARN-11002,0
YARN-10980,-1
YARN-10955,-1
YARN-10930,0
YARN-10928,0
YARN-10899,0
YARN-10898,-1
YARN-10889,0
YARN-10843,-1
YARN-10835,-1
YARN-10790,0
YARN-10782,0
YARN-10759,0
YARN-10758,0
YARN-10755,0
YARN-10738,0
YARN-10714,0
YARN-10655,0
YARN-10623,0
YARN-10621,-1
YARN-10617,0
YARN-10598,0
YARN-10585,-1
YARN-10581,0
YARN-10579,0
YARN-10571,0
YARN-10564,0
YARN-10546,0
YARN-10534,2
YARN-10524,0
YARN-10521,0
YARN-10514,0
YARN-10512,0
YARN-10505,0
YARN-10496,0
YARN-10493,-1
YARN-10478,9
YARN-10473,-1
YARN-10449,-1
YARN-10436,-1
YARN-10433,5
YARN-10432,-1
YARN-10431,0
YARN-10422,5
YARN-10421,5
YARN-10406,5
YARN-10389,-1
YARN-10384,0
YARN-10376,-1
YARN-10375,-1
YARN-10374,-1
YARN-10370,0
YARN-10043,-1
YARN-10352,9
YARN-10335,0
YARN-10333,-1
YARN-10323,-1
YARN-10311,4
YARN-10304,5
YARN-10292,-1
YARN-10281,-1
YARN-10276,-1
YARN-10246,3
YARN-10238,0
YARN-10229,3
YARN-10216,1
YARN-10028,5
YARN-10214,-1
YARN-10181,8
YARN-10162,0
YARN-10126,-1
YARN-10114,5
YARN-10101,5
YARN-10100,0
YARN-10099,0
YARN-10096,3
YARN-10094,-1
YARN-10079,0
YARN-10062,1
YARN-10039,-1
YARN-10032,5
YARN-10031,5
YARN-10022,-1
YARN-9927,-1
YARN-9936,0
YARN-9926,-1
YARN-9923,-1
YARN-9916,-1
YARN-9904,0
YARN-9899,-1
YARN-9897,-1
YARN-9879,0
YARN-9848,4
YARN-9809,-1
YARN-9805,-1
YARN-9748,1
YARN-9726,5
YARN-9802,-1
YARN-9768,-1
YARN-9761,-1
YARN-9760,-1
YARN-9746,4
YARN-9754,0
YARN-9753,0
YARN-9737,0
YARN-9730,8
YARN-9698,-1
YARN-9697,0
YARN-9686,-1
YARN-9671,0
YARN-9669,2
YARN-9664,-1
YARN-9663,3
YARN-9656,-1
YARN-9652,0
YARN-9634,5
YARN-9633,-1
YARN-9618,-1
YARN-9609,5
YARN-9607,5
YARN-9603,0
YARN-9577,3
YARN-9555,4
YARN-9528,3
YARN-9439,-1
YARN-9499,6
YARN-9477,-1
YARN-9473,-1
YARN-9472,0
YARN-9443,1
YARN-9421,0
YARN-9416,0
YARN-9414,6
YARN-9378,2
YARN-9366,1
YARN-9346,0
YARN-9345,7
YARN-9313,-1
YARN-9298,0
YARN-9292,2
YARN-9287,-1
YARN-9276,-1
YARN-9249,2
YARN-9230,2
YARN-9228,2
YARN-9200,0
YARN-9174,-1
YARN-9150,1
YARN-9146,4
YARN-9145,-1
YARN-9116,0
YARN-9098,-1
YARN-9086,-1
YARN-9059,-1
YARN-9060,-1
YARN-9056,4
YARN-9055,0
YARN-9050,0
YARN-9045,-1
YARN-9038,2
YARN-9034,-1
YARN-9023,6
YARN-9021,4
YARN-9016,1
YARN-9015,-1
YARN-9014,2
YARN-9003,2
YARN-9000,-1
YARN-8993,2
YARN-8964,-1
YARN-8982,3
YARN-8962,2
YARN-8761,-1
YARN-8981,-1
YARN-8978,0
YARN-8967,0
YARN-8965,0
YARN-8953,-1
YARN-8913,2
YARN-8890,-1
YARN-8903,-1
YARN-8895,-1
YARN-8889,2
YARN-8887,2
YARN-8886,-1
YARN-8884,-1
YARN-8882,-1
YARN-8881,-1
YARN-8880,-1
YARN-8863,-1
YARN-8862,4
YARN-8851,-1
YARN-8850,-1
YARN-8849,0
YARN-8848,0
YARN-8839,-1
YARN-8838,-1
YARN-8836,0
YARN-8834,-1
YARN-8827,0
YARN-8821,-1
YARN-8820,-1
YARN-8811,-1
YARN-8766,-1
YARN-8765,0
YARN-8763,6
YARN-8762,2
YARN-8736,3
YARN-8731,0
YARN-8697,3
YARN-8696,9
YARN-8686,-1
YARN-8684,0
YARN-8673,-1
YARN-8670,0
YARN-8643,2
YARN-8651,0
YARN-8639,0
YARN-8638,2
YARN-8634,4
YARN-8626,3
YARN-8621,-1
YARN-8618,4
YARN-8599,-1
YARN-8598,-1
YARN-8597,-1
YARN-8572,4
YARN-8583,6
YARN-8571,6
YARN-8559,-1
YARN-8556,0
YARN-8551,-1
YARN-8533,-1
YARN-8532,6
YARN-8499,1
YARN-8495,0
YARN-8493,5
YARN-8489,-1
YARN-8488,4
YARN-8472,2
YARN-8468,0
YARN-8451,9
YARN-8461,-1
YARN-8452,0
YARN-8446,0
YARN-8412,-1
YARN-8411,4
YARN-8392,0
YARN-8304,5
YARN-8379,0
YARN-8364,0
YARN-8361,-1
YARN-8356,5
YARN-8352,-1
YARN-8306,0
YARN-8345,-1
YARN-8333,-1
YARN-8320,2
YARN-8314,1
YARN-8303,4
YARN-8298,4
YARN-8286,7
YARN-8283,0
YARN-8256,-1
YARN-8250,0
YARN-8240,0
YARN-8238,-1
YARN-8192,-1
YARN-8186,3
YARN-8178,0
YARN-8170,0
YARN-8157,1
YARN-8146,-1
YARN-8137,0
YARN-8134,-1
YARN-8131,-1
YARN-8104,8
YARN-8103,8
YARN-8100,8
YARN-8092,8
YARN-8081,4
YARN-8080,-1
YARN-7307,-1
YARN-8065,7
YARN-8052,6
YARN-8042,1
YARN-8038,1
YARN-8018,4
YARN-8015,0
YARN-8014,4
YARN-8013,0
YARN-8007,0
YARN-7996,-1
YARN-7976,1
YARN-7974,-1
YARN-7972,0
YARN-7939,4
YARN-7934,0
YARN-7931,1
YARN-7930,8
YARN-7929,-1
YARN-7904,2
YARN-7923,-1
YARN-7900,4
YARN-7882,-1
YARN-7876,-1
YARN-7871,8
YARN-7863,0
YARN-7858,0
YARN-7856,8
YARN-7854,-1
YARN-7848,7
YARN-7847,5
YARN-7842,9
YARN-7839,0
YARN-7831,-1
YARN-7825,-1
YARN-7812,0
YARN-7806,1
YARN-7606,-1
YARN-7790,-1
YARN-7778,0
YARN-7774,0
YARN-7724,4
YARN-7713,-1
YARN-7707,3
YARN-7694,-1
YARN-7686,-1
YARN-7672,0
YARN-7670,0
YARN-7669,0
YARN-7666,0
YARN-7662,-1
YARN-7660,9
YARN-7657,0
YARN-7655,0
YARN-7653,0
YARN-7033,-1
YARN-7643,0
YARN-7634,0
YARN-7622,1
YARN-7621,0
YARN-7612,0
YARN-7605,-1
YARN-7599,4
YARN-7583,2
YARN-7540,-1
YARN-7530,6
YARN-7522,0
YARN-7520,0
YARN-7506,2
YARN-7495,0
YARN-7494,0
YARN-7492,-1
YARN-7481,-1
YARN-7473,0
YARN-7469,0
YARN-7468,-1
YARN-7457,0
YARN-7441,-1
YARN-7438,0
YARN-7423,5
YARN-7419,0
YARN-7405,-1
YARN-7399,6
YARN-7384,4
YARN-7376,-1
YARN-7368,-1
YARN-7297,0
YARN-7292,0
YARN-7282,2
YARN-7273,0
YARN-7272,1
YARN-7271,0
YARN-7265,5
YARN-7250,2
YARN-7224,-1
YARN-7218,6
YARN-7217,-1
YARN-7215,6
YARN-7193,6
YARN-7192,-1
YARN-1637,1
YARN-7159,0
YARN-7158,0
YARN-7142,0
YARN-7129,2
YARN-7127,-1
YARN-7117,0
YARN-7109,-1
YARN-7107,0
YARN-7097,3
YARN-7096,3
YARN-7095,3
YARN-7079,0
YARN-7069,0
YARN-7061,-1
YARN-7059,1
YARN-7055,-1
YARN-7054,-1
YARN-7053,-1
YARN-7037,5
YARN-1636,1
YARN-7031,8
YARN-7019,-1
YARN-7018,9
YARN-7017,0
YARN-7016,-1
YARN-7010,3
YARN-7006,-1
YARN-7005,0
YARN-7004,0
YARN-7003,0
YARN-6963,-1
YARN-6960,0
YARN-1635,-1
YARN-6947,0
YARN-6936,1
YARN-6915,-1
YARN-6903,6
YARN-6896,3
YARN-6889,-1
YARN-6877,5
YARN-6876,5
YARN-6875,5
YARN-6858,8
YARN-6857,8
YARN-6855,8
YARN-6848,-1
YARN-6842,0
YARN-6839,5
YARN-6829,0
YARN-6828,0
YARN-1634,-1
YARN-6820,1
YARN-6791,-1
YARN-6789,-1
YARN-6777,-1
YARN-6774,4
YARN-6753,-1
YARN-1633,1
YARN-6734,1
YARN-6733,1
YARN-6724,3
YARN-6573,0
YARN-6704,-1
YARN-6691,4
YARN-6688,0
YARN-6679,0
YARN-6671,-1
YARN-6670,-1
YARN-6669,6
YARN-6636,8
YARN-6634,-1
YARN-6612,0
YARN-6626,-1
YARN-6621,0
YARN-6620,-1
YARN-6601,4
YARN-6599,0
YARN-6596,0
YARN-6592,0
YARN-6586,6
YARN-6569,8
YARN-6567,0
YARN-6527,-1
YARN-6524,-1
YARN-6521,5
YARN-6511,3
YARN-6507,-1
YARN-6484,-1
YARN-6469,0
YARN-6466,-1
YARN-6462,0
YARN-6449,0
YARN-6440,0
YARN-6426,-1
YARN-6407,-1
YARN-6401,-1
YARN-6398,-1
YARN-6396,-1
YARN-6390,6
YARN-6345,-1
YARN-6369,0
YARN-6366,-1
YARN-6364,0
YARN-6358,0
YARN-6357,6
YARN-6355,3
YARN-6347,8
YARN-6320,0
YARN-6314,5
YARN-6306,7
YARN-6282,-1
YARN-6266,0
YARN-6255,6
YARN-6254,-1
YARN-6234,-1
YARN-6224,0
YARN-6223,-1
YARN-6207,0
YARN-6192,-1
YARN-6179,1
YARN-6167,7
YARN-6162,6
