issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion
YARN-10650,2,0.9987523393636929,1,0.000623830318153591,0.000623830318153591,0.9987523393636929
YARN-11025,0,0.6927381560273421,2,0.6927381560273421,0.00023792529145854442,0.30702391868119927
YARN-11005,1,0.7357131902637624,2,0.26403699709571804,0.7357131902637624,0.000249812640519662
YARN-11003,1,0.8401972078568477,2,0.1595648668516938,0.8401972078568477,0.00023792529145855203
YARN-11002,0,0.6678884557645638,2,0.6678884557645638,0.33205973881658934,5.180541884682716e-05
YARN-10980,2,0.875528118686964,1,0.00017847581652696975,0.12429340549650902,0.875528118686964
YARN-10955,2,0.47771732852982796,3,0.17946524432001007,0.3428174271501619,0.47771732852982796
YARN-10930,1,0.6502932790041964,2,0.34952163863415264,0.6502932790041964,0.00018508236165101023
YARN-10928,0,0.7007141371236871,2,0.7007141371236871,0.18769624122387263,0.11158962165244019
YARN-10899,1,0.6494307058075234,2,0.248851249513542,0.6494307058075234,0.10171804467893457
YARN-10898,1,0.55119701743061,2,0.00023239600278882977,0.55119701743061,0.4485705865666012
YARN-10889,0,0.9971550497866286,1,0.9971550497866286,0.0014224751066857465,0.0014224751066857465
YARN-10843,0,0.47524898950187583,3,0.47524898950187583,0.2773239725734714,0.24742703792465287
YARN-10835,2,0.9996876464157426,1,0.00015617679212871844,0.00015617679212871844,0.9996876464157426
YARN-10790,0,0.9994875736612862,1,0.9994875736612862,0.00025621316935696176,0.00025621316935696176
YARN-10782,0,0.8589551753539478,1,0.8589551753539478,0.0006238303181535719,0.1404209943278987
YARN-10759,0,0.5920801724594089,2,0.5920801724594089,0.40758682720759043,0.0003330003330006487
YARN-10758,0,0.5660883123139017,2,0.5660883123139017,0.43364163637634934,0.00027005130974894995
YARN-10755,2,0.8733163043452796,1,0.1262841750794104,0.0003995205753099351,0.8733163043452796
YARN-10738,0,0.5218351388236162,2,0.5218351388236162,0.4778526538707328,0.00031220730565102326
YARN-10714,0,0.9039200922706476,1,0.9039200922706476,0.0002629503023928934,0.09581695742695949
YARN-10655,0,0.9995835935873412,1,0.9995835935873412,0.0002082032063294315,0.0002082032063294315
YARN-10623,0,0.9994598973805022,1,0.9994598973805022,0.00027005130974895386,0.00027005130974895386
YARN-10621,1,0.9998437866125127,1,7.810669374368457e-05,0.9998437866125127,7.810669374368457e-05
YARN-10617,1,0.5228636462579911,2,0.47690923586783224,0.5228636462579911,0.0002271178741767492
YARN-10598,0,0.9997619897655597,1,0.9997619897655597,0.0001190051172200609,0.0001190051172200609
YARN-10585,2,0.8297571310256175,2,0.16976735779986962,0.00047551117451282056,0.8297571310256175
YARN-10581,0,0.9995747395279609,1,0.9995747395279609,0.0002126302360195883,0.0002126302360195883
YARN-10579,0,0.9992009588493805,1,0.9992009588493805,0.00039952057530968503,0.00039952057530968503
YARN-10571,0,0.99923165578179,1,0.99923165578179,0.0003841721091049722,0.0003841721091049722
YARN-10564,0,0.7881458277870883,2,0.7881458277870883,0.21158412090316273,0.0002700513097489565
YARN-10546,1,0.9990921470721735,1,0.0004539264639131527,0.9990921470721735,0.0004539264639131527
YARN-10534,1,0.6781655900064895,2,0.00029385836027044486,0.6781655900064895,0.3215405516332401
YARN-10524,1,0.9264538787534848,1,0.07341284122519018,0.9264538787534848,0.00013328002132484464
YARN-10521,1,0.5310571748710676,2,0.4686205563567763,0.5310571748710676,0.0003222687721560546
YARN-10514,1,0.9358063921385692,1,0.06401188879910114,0.9358063921385692,0.00018171906232968373
YARN-10512,0,0.6484854595042572,2,0.6484854595042572,0.11660688406713401,0.23490765642860867
