issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion
YARN-10650,2,0.7945770115648235,2,0.0007117437722421252,0.2032877571184502,0.7945770115648235,0.0007117437722421252,0.0007117437722421252
YARN-11025,4,0.5920598889764677,2,0.00026990553306350244,0.4071303944243419,0.00026990553306350244,0.00026990553306350244,0.5920598889764677
YARN-11005,2,0.4862413816039951,2,0.0792716178312612,0.36046456384505937,0.4862413816039951,0.07375253118662098,0.00026990553306351946
YARN-11003,2,0.4275336990043259,3,0.00023781212841872526,0.35340397316263,0.4275336990043259,0.21858670357620674,0.00023781212841872526
YARN-11002,1,0.730644174512886,2,5.523336095002802e-05,0.730644174512886,0.269190125404264,5.523336095002802e-05,5.523336095002802e-05
YARN-10980,3,0.9991675338189382,1,0.00020811654526544748,0.00020811654526544748,0.00020811654526544748,0.9991675338189382,0.00020811654526544748
YARN-10955,4,0.6498623147561214,3,0.00010303967027309546,0.17012355272999855,0.1798080531733339,0.00010303967027309546,0.6498623147561214
YARN-10930,2,0.9992315081652255,1,0.00019212295869362972,0.00019212295869362972,0.9992315081652255,0.00019212295869362972,0.00019212295869362972
YARN-10928,2,0.6169232299443028,2,0.00020387359836905063,0.00020387359836905063,0.6169232299443028,0.00020387359836905063,0.3824651492605899
YARN-10899,2,0.7650905294286273,2,0.00017841213202505918,0.05664967732648061,0.7650905294286273,0.00017841213202505918,0.17790296898084204
YARN-10898,4,0.9387936609777638,1,0.00030257186081701924,0.00030257186081701924,0.00030257186081701924,0.060298623439785135,0.9387936609777638
YARN-10889,4,0.9933884297520658,1,0.0016528925619835701,0.0016528925619835701,0.0016528925619835701,0.0016528925619835701,0.9933884297520658
YARN-10843,4,0.5967865492868324,2,0.000664451827242695,0.000664451827242695,0.4012200952314396,0.000664451827242695,0.5967865492868324
YARN-10835,2,0.6052188275263508,3,0.19895395983452793,0.00018165304268849544,0.6052188275263508,0.1954639065537443,0.00018165304268849544
YARN-10790,4,0.9988252569750363,1,0.00029368575624092813,0.00029368575624092813,0.00029368575624092813,0.00029368575624092813,0.9988252569750363
YARN-10782,4,0.9122564190096791,1,0.0007662835249043163,0.0007662835249043163,0.0007662835249043163,0.08544473041560792,0.9122564190096791
YARN-10759,2,0.9982646420824286,1,0.0004338394793928175,0.0004338394793928175,0.9982646420824286,0.0004338394793928175,0.0004338394793928175
YARN-10758,2,0.998890429958391,1,0.000277392510402274,0.000277392510402274,0.998890429958391,0.000277392510402274,0.000277392510402274
YARN-10755,3,0.6864910408695275,2,0.0004750593824231157,0.1142914915362768,0.1982673488293493,0.6864910408695275,0.0004750593824231157
YARN-10738,2,0.9986688851913476,1,0.00033277870216309995,0.00033277870216309995,0.9986688851913476,0.00033277870216309995,0.00033277870216309995
YARN-10714,4,0.6989717921562526,2,0.0003442340791739281,0.05688579598074593,0.0003442340791739281,0.24345394370465365,0.6989717921562526
YARN-10655,2,0.6143259865777719,2,0.0002560819462228599,0.0002560819462228599,0.6143259865777719,0.0002560819462228599,0.38490576758355943
YARN-10623,4,0.7720517175171105,1,0.0003220611916265186,0.12097720122994242,0.10632695886969398,0.0003220611916265186,0.7720517175171105
YARN-10621,4,0.36997124368710976,3,0.3603091367812959,8.399832003364708e-05,8.399832003364708e-05,0.269551622891527,0.36997124368710976
YARN-10617,2,0.5951226262080431,3,0.0002699055330635722,0.2071880579203086,0.5951226262080431,0.0002699055330635722,0.1971495048055211
YARN-10598,4,0.9994524298425734,1,0.0001368925393566197,0.0001368925393566197,0.0001368925393566197,0.0001368925393566197,0.9994524298425734
YARN-10585,4,0.4927604962180328,3,0.0005249343832025578,0.0005249343832025578,0.23954787489471793,0.2666417601208443,0.4927604962180328
