lda_baseline_topic,bertopic_topic,std_residual
1,0,17.1158016965137
4,0,-15.19227279806027
2,3,12.220987560966313
3,1,10.996534583728813
2,5,10.411664761649664
3,8,10.197634506316508
0,0,9.809688570925132
4,2,9.051716596475268
4,6,9.049586487159916
4,7,8.662001149377247
4,4,8.600909956052616
1,1,-7.3237052285178335
2,0,-5.998247231091522
1,4,-5.2025795106250605
1,6,-4.805639903893574
1,3,-4.394024228809166
1,5,-4.192852659830818
3,0,-3.868815548980513
1,7,-3.8329861403446226
1,9,3.80955087093125
1,2,-3.5884895618444346
4,8,-3.3898449557306143
3,2,-3.3848068834480967
3,3,-3.2005540161833728
3,7,-2.839966320657027
0,2,-2.8221326180835007
2,6,-2.540708130515767
2,7,-2.5165727657516253
2,2,-2.4944116308496826
0,5,-2.4674537987771834
0,6,-2.4674537987771834
0,7,-2.4440143108813164
2,8,-2.3422184233688883
2,4,-2.319114331978178
0,3,-2.2545262798692636
0,4,-2.2294765900897398
3,6,-2.1070575881897406
3,9,-2.097030558148231
0,1,-2.0899484731129903
