lda_ontology_topic,bertopic_topic,std_residual
2,0,15.46385549420074
0,2,14.404066445440282
1,7,14.29968240369889
3,1,9.674331575529566
3,0,-7.609929307853691
4,8,7.423154828216921
2,1,-5.624130236750391
1,4,5.359431689981641
4,3,5.350418187970076
4,0,-5.330698268179058
2,7,-4.90349745016814
4,7,-4.684809636386506
2,6,-4.647999508443696
1,0,-4.583199778938014
2,2,-4.316528498974659
2,3,-4.282740171924413
2,4,-4.230769897830064
4,2,-4.001664712042185
1,9,3.9703467474802667
0,1,-3.8595598115707968
4,6,3.4939213856033238
1,6,-3.397418967233606
4,1,3.2874949889301908
2,8,-3.262280439484497
3,6,3.0913018879032745
0,5,-2.9171188678565096
1,5,-2.6520668468711315
0,6,2.484004012908344
4,5,2.317584959948281
3,8,-2.315351842256887
3,4,2.0712963167239726
0,7,-2.0513948067214565
0,3,-2.02967857748042
3,3,2.015122599314851
2,5,2.0075564839694615
